pldb_id,title,type,appeared,language_rank,features_has_comments,features_has_semantic_indentation,features_has_line_comments,line_comment_token,last_activity,number_of_users,number_of_jobs,origin_community,central_package_repository_count,file_type,is_open_source
lfe,LFE,pl,2008,118,TRUE,FALSE,TRUE,;,2022,405,0,https://github.com/lfe,0,text,TRUE
visual-basic.net,Visual Basic .NET,pl,2001,109,TRUE,FALSE,TRUE,',2022,5691,3447,Microsoft,NA,text,NA
forth,Forth,pl,1970,121,TRUE,FALSE,TRUE,\,2022,3230,0,National Radio Astronomy Observatory,NA,text,NA
purebasic,PureBasic,pl,1998,120,TRUE,FALSE,TRUE,;,2022,426,0,Fantaisie Software,0,text,NA
haxe,Haxe,pl,2005,113,TRUE,FALSE,TRUE,//,2022,8831,1,Haxe Foundation,NA,text,TRUE
vbscript,VBScript,pl,1996,126,TRUE,FALSE,TRUE,',2022,3347,142,Microsoft,0,text,NA
cil,CIL,pl,2000,128,TRUE,FALSE,TRUE,//,2022,1080,0,Microsoft,0,text,NA
chapel,Chapel,pl,2004,110,TRUE,FALSE,TRUE,//,2022,16150,1,Cray,0,text,TRUE
oberon,Oberon,pl,1986,130,TRUE,FALSE,NA,NA,2022,810,0,Eidgenössische Technische Hochschule Zürich,0,text,NA
applescript,Applescript,pl,1993,129,TRUE,FALSE,TRUE,--,2022,1221,6,Apple,0,text,FALSE
oz,Oz,pl,1991,127,TRUE,FALSE,TRUE,%,2022,661,0,Universität des Saarlandes,0,text,TRUE
lasso,Lasso,pl,1995,125,TRUE,FALSE,TRUE,//,2022,396,142,LassoSoft Inc,0,text,FALSE
fish,fish,pl,2005,122,TRUE,FALSE,TRUE,#,2022,24362,1,https://github.com/fish-shell,0,text,TRUE
red,Red,pl,2011,112,TRUE,FALSE,TRUE,;,2022,6608,0,https://github.com/red,0,text,TRUE
simula,Simula,pl,1965,138,TRUE,FALSE,TRUE,!,2002,1110,0,NA,0,text,NA
idris,Idris,pl,2014,133,TRUE,FALSE,TRUE,--,2022,6168,1,University of St Andrews,0,text,TRUE
logo,Logo,pl,1967,140,TRUE,FALSE,TRUE,;,2022,2895,0,Massachusetts Institute of Technology,0,text,NA
ampl,AMPL,pl,1985,137,TRUE,FALSE,TRUE,#,2022,766,3,AMPL Optimization LLC,0,text,FALSE
sed,sed,pl,1974,141,TRUE,NA,TRUE,NA,2018,1865,0,NA,0,text,NA
